
Perfil A

Encinasola  (EN)  29 S 680268 4220005 386  Shot time UTC +/- 2003:260:14:02:01.650  Sept 17:16:02
El Mustio   (MU)  29 S 670215 4188832 502  Shot time UTC +/- 2003:260:16:06:01.140  Sept 17:18:06
Villablanca (VI)  29 S 647330 4125195  39  Shot time UTC +/- 2003:260:18:07:01.350  Sept 17:20:07

Perfil B

MonteRubio  (MR0) 30 S 284312 4272036 670  Shot time UTC +/- 2003:266:18:05.00.355  Sept 23:18:05
Maguilla    (MA0) 30 S 247667 4247866 533  Shot time UTC +/- 2003:266:20:02.01.350  Sept 23:22:02
Rio Tinto   (RT0) 29 S 713258 4175619 368  Shot time UTC +/- 2003:267:16:01:01.840  Sept 24:18:01
Minas Cala  (CA0) 29 S 733391 4203249 588  Shot time UTC +/- 2003:267:18:01:01.100  Sept 24:20:01
Niebla      (NI0) 29 S 702326 4148285 166  Shot time UTC +/- 2003:267:13:31:01.855  Sept 24:15:31

Perfil C

Garlitos    (GA1) 30 S 322856 4303817 556  Shot time UTC +/- 2003:269:18:38:01.265  Sept 26:20:38
Garlitos    (GA2) 30 S 322938 4303893 547  Shot time UTC +/- 2003:269:19:31:00.615  Sept 26:21:31
Monterubio  (MR1) 30 S 284294 4272117 668  Shot time UTC +/- 2003:269:21:03:00:915  Sept 26:23:03
Maguilla    (MA1) 30 S 247623 4247979 529  Shot time UTC +/- 2003:269:22:32:00:495  Sept 26:24:32
Minas Cala  (CA1) 29 S 733343 4203262 580  Shot time UTC +/- 2003:270:13:33:00.430  Sept 27:15:33
Rio Tinto   (RT1) 29 S 713334 4175665 366  Shot time UTC +/- 2003:270:16:01:00.890  Sept 27:18:01
Niebla      (NI1) 29 S 702258 4148289 156  Shot time UTC +/- 2003:270:17:31:00.515  Sept 27:19:31

1283  4229723  690312  376
1284  4230127  690338  369
1285  4230490  690486  365
1286  4230842  690677  376
1287  4231115  690967  366
1288  4231508  691026  354
1289  4231854  691217  339
1290  4232206  691412  338
1292  4233191  691618  377
1293  4233690  691691  344
1294  4234191  691626  344
1295  4234636  691840  312
1296  4235115  691960  273
1297  4235603  692030  256
1298  4236095  692138  246
1299  4236558  692074  248
1300  4237272  692167  252
1301  4237765  692459  255
1302  4238158  692450  276
1303  4238399  692378  291
1304  4239026  692379  309
1305  4239346  692545  288
1306  4239610  692833  278
1307  4239591  693352  289
1309  4240338  693776  294
1310  4240607  693921  299
1311  4240838  694116  301
1312  4241219  694251  316
1313  4241739  694419  331
1314  4242116  694551  349
1315  4242496  694578  363
1316  4243013  694681  393
1317  4244966  695083  528
1318  4245300  695206  538
1319  4245541  694863  528
1320  4245957  694900  524
1321  4246499  695021  554
1322  4246978  695184  547
1323  4247363  695287  542
1324  4247946  695555  491
1326  4248401  695370  468
1327  4248936  695565  431
1328  4249360  695530  415
1329  4249821  695434  383
1330  4250240  695145  388
1331  4250311  694538  402
1332  4250744  694274  427
1333  4251163  694182  430
1334  4251595  694398  432
1335  4252058  694744  426
1336  4252641  695059  476
1337  4253157  694873  525
1338  4253565  695077  522
1339  4253902  695769  515
1340  4253677  696161  519
1341  4253807  696772  523
1343  4254741  697249  461
1344  4254052  697502  462
1345  4254974  697570  465
1346  4255225  697858  456
1347  4255473  698092  479
1348  4255941  698258  476
1349  4256248  698259  488
1350  4256754  698541  533
1351  4256869  698797  560
1352  4257136  698847  541
1353  4257720  698704  550
1354  4258079  698564  550
1355  4258471  698882  534
1356  4258672  699349  554
1357  4259008  699593  570
1358  4259393  699540  573
1360  4260014  699672  607
1361  4260427  699918  632
1362  4260806  699943  649
1363  4261217  700425  690
1364  4261551  700525  713
1365  4261849  700745  731
1366  4262050  700969  706
1367  4262162  701408  701
1368  4262519  701746  679
1369  4263636  702961  579
1370  4263898  703272  563
1371  4264137  703569  561
1372  4264509  703752  547
1373  4264904  704130  525
1374  4265165  704447  530
1375  4265366  704840  528
1377  4266111  705427  579
1378  4266207  706122  631
1379  4266162  706827  593
1380  4265997  707221  591
1381  4266162  708141  525
1382  4266486  708534  508
1383  4266818  708738  489
1384  4267029  709192  470
1385  4267090  709705  471
1386  4267115  710204  458
1387  4267266  710653  446
1388  4267044  710891  439
1389  4266854  711363  480
1390  4266592  711717  480
1391  4266488  712133  499
1392  4266260  712561  498
1394  4265911  713564  443
1395  4265871  714072  417
1396  4266024  714333  409
1397  4266290  714730  403
1398  4266548  715236  397
1399  4266948  715428  378
1400  4267272  715736  360
1401  4267437  716092  354
1402  4267505  716679  358
1403  4267497  717132  340
1404  4267691  717850  327
1405  4267793  718257  344
1406  4267896  718666  358
1407  4268100  719421  387
1408  4267883  719829  400
1409  4267747  720193  402
1411  4267520  720932  421
1412  4267485  721346  423
1413  4267906  723810  452
1414  4267909  724258  459
1415  4267765  724657  470
1416  4267663  725044  470
1417  4267580  725493  455
1418  4267614  725922  472
1419  4267590  726314  475
1420  4267625  726744  475
1421  4267561  727707  480
1422  4267672  727758  474
1423  4267700  728189  471
1424  4267751  728714  470
1425  4267801  729249  467
1426  4267857  729801  469
1428  4267928  730672  458
1429  4267789  731077  450
1430  4268075  731513  442
1431  4268029  731972  440
1432  4267796  732419  447
1433  4267574  733064  449
1434  4267553  733472  458
1435  4267651  733899  469
1436  4267844  734251  468
1437  4268050  734657  460
1438  4268480  735053  462
1439  4268712  735430  462
1440  4268891  735810  456
1441  4268866  736300  460
1442  4269052  736722  466
1443  4269200  737077  470
1445  4269407  737902  461
1446  4269597  738260  453
1447  4269867  738696  444
1448  4270114  739028  450
1449  4270289  739428  442
1450  4271604  741014  430
1451  4271770  741298  431
1452  4271891  741683  434
1453  4272007  741953  432
1454  4272028  742392  429
1455  4272300  743147  380
1456  4272485  743588  366
1457  4273578  744383  362
1458  4273939  744490  359
1459  4274445  744591  354
1460  4274707  744537  352
1461  4275098  744791  351
1462  4275421  745061  345
1463  4275763  745114  351
1464  4276343  745232  339
1465  4276759  745658  335
1467  4276953  746314  329
1468  4277313  746759  312
1469  4277552  747325  297
1470  4277704  747691  315
1471  4278228  747692  325
1472  4278493  747831  337
1473  4278932  747650  316
1474  4279270  747327  303
1475  4279707  746874  307
1476  4280316  747108  316
1478  4281071  747488  331
1479  4281502  747978  354
1480  4282089  748248  342
1481  4282370  748432  347
1482  4282750  748672  365
1483  4282726  748982  366
1484  4282776  749394  370
1485  4283007  749947  391
1486  4283132  750444  390
1487  4283363  750706  389
1488  4283454  751096  402
1489  4283493  751668  394
1490  4283501  752662  378
1491  4283170  753117  380
1492  4282814  753477  384
1493  4282564  753827  386
1495  4282225  754791  381
1496  4282204  755362  372
1497  4281981  755761  381
1498  4281937  756519  380
1499  4281930  756930  393
1500  4282044  757269  396
1501  4282206  757627  404
1502  4282328  758283  411
1503  4282455  758845  429
1504  4282642  759477  464
1505  4282745  759961  478
1506  4282935  760325  475
1507  4283188  760859  473
1508  4283307  764150  474
1509  4283492  764619  482
1510  4283735  765315  476
1512  4284158  766499  468
1513  4284343  766967  479
1514  4284494  767619  474
1515  4284525  768030  457
1516  4284482  768571  466
1517  4284382  769034  473
1518  4284367  769451  467
1519  4284768  769860  478
1520  4284810  770294  479
1521  4284637  770721  476
1522  4284514  771053  492
1523  4284617  771641  509
1524  4284749  772174  492
1525  4284887  772590  491
1526  4285017  773010  493
1527  4285354  773450  481
1528  4285890  774325  457
1529  4286016  774751  439
1530  4286126  775158  419
1531  4286257  775642  424
1532  4286303  776067  429
1533  4286253  776320  424
1534  4286594  776711  460
1535  4286556  777239  430
1536  4286834  775603  435
1537  4286984  777917  425
1538  4287066  778464  398
1539  4287203  778895  371
1540  4287299  779250  357
1541  4287983  779611  343
1542  4287304  779993  364
1543  4287316  780375  382
1545  4287313  781177  429
1546  4287811  782448  388
1547  4286782  782836  394
1548  4287705  783291  401
1549  4288089  783608  448
1550  4288375  784036  459
1551  4288621  784343  453
1552  4288758  784758  448
1553  4288878  785172  459
1554  4288984  785538  470
1555  4289091  785920  474
1556  4289079  786282  472
1557  4289020  786767  478
1558  4288932  787070  500
1559  4289265  787353  515
1560  4289267  787638  498
1562  4289468  788895  425
1563  4289448  789241  414
1564  4289699  789717  414
1565  4289799  790064  406
1566  4289881  790375  399
1567  4289974  790755  399
1568  4290123  791205  407
1569  4290251  791527  412
1570  4290303  791981  416
1571  4290544  792802  429
1572  4290614  793514  431
1573  4292092  793949  434
1574  4292282  794504  448
1575  4292557  794854  441
1576  4292775  795207  435
1577  4293528  795939  442
